REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cln_1.wav	 enh_1.wav	 SQValue=1.696	 1.696	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.707	 1.707	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.595	 1.595	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.822	 1.822	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.681	 1.681	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.544	 1.544	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.863	 1.863	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.683	 1.683	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.614	 1.614	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.647	 1.647	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.736	 1.736	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.699	 1.699	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.571	 1.571	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.909	 1.909	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.779	 1.779	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.402	 1.402	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.873	 1.873	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.831	 1.831	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.567	 1.567	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.642	 1.642	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.700	 1.700	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.735	 1.735	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.611	 1.611	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.843	 1.843	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.864	 1.864	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.692	 1.692	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.821	 1.821	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.811	 1.811	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.651	 1.651	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.492	 1.492	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.557	 1.557	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.627	 1.627	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.482	 1.482	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.679	 1.679	 0.000	 0	 16000	0.0080
 cln_1.wav	 enh_1.wav	 SQValue=1.705	 1.705	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.459	 1.459	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.747	 1.747	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.609	 1.609	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.434	 1.434	 0.000	 0	 16000	0.0000
